"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
19955;"Brasil, 13820-000";-22,7007485;-46,98378575;1
20449;"Brasil, 09531-190";-3,78936;-38,60537;1
21561;"Brasil, 38411-145";-18,9573088678947;-48,27775478;1
36652;"Brasil, 05003-020";-23,5274476;-46,6748014;1
20598;"Brasil, 03126-000";-23,5797396;-46,5942461;1
24767;"Brasil, 86027-750";-23,312162975;-51,1457469666667;1
24766;"Brasil, 12091-000";-23,034564;-45,56396375;1
22951;"Brasil, 22640-102";-22,9983149;-43,3533899444444;1
24763;"Brasil, 51110-160";-8,08614123325635;-34,8941839898383;1
24765;"Brasil, 78043-900";-12,0684214;-77,0480731;1
26041;"Brasil, 09726-901";NA;NA;NA
30582;"Brasil, 05145-000";-23,4954758833333;-46,7185405333333;1
27397;"Brasil, 32655-505";-33,4007259;-70,7460864;1
27386;"Brasil, 22750-000";-21,053976;-49,6834459;1
26040;"Brasil, 74445-360";23,1359229;-82,3550371;0
30596;"Brasil, 02049-900";-28,1123214;-54,7176521;1
27398;"Brasil, 09111-340";-23,6642495;-46,4982514;1
30577;"Brasil, 29107-900";-20,3518665;-40,2981209;1
31558;"Brasil, 22735-015";-22,92235595;-43,36078235;1
30581;"Brasil, 01310-100";-23,5649832421053;-46,6517928403509;1
31561;"Brasil, 08780-910";-0,0036735;-51,0878546;1
30567;"Brasil, 88524-900";-27,7940138;-50,2842374;1
32049;"Brasil, 37026-280";-23,21318445;-46,8302825923764;1
31904;"Brasil, 69307-725";2,8417602;-60,6541237;0
30609;"Brasil, 83005-010";-25,5384996290323;-49,2026001741935;1
33084;"Brasil, 48908-000";-21,053976;-49,6834459;1
34704;"Brasil, 12918-001";-30,811577;-53,9006734255894;1
33653;"Brasil, 85853-000";-25,5654359333333;-54,5531896333333;1
33652;"Brasil, 42800-970";-12,6947358;-38,331069;1
40182;"Brasil, 01489-900";-23,5771992;-46,6880485;1
40181;"Brasil, 74810-907";-15,7967373;-47,9382165;1
42884;"Brasil, 93320-021";-30,81431825;-53,9061494540372;1
42883;"Brasil, 91010-002";-30,0109585;-51,1611546222222;1
42886;"Brasil, 22445-000";-21,053976;-49,6834459;1
44890;"Brasil, 45605-905";-24,30384595;-53,8390281812144;1
53932;"Brasil, 08710-500";-23,5260482;-46,203978;1
44889;"Brasil, 13844-060";-23,2613819;-45,9530786;1
19102;"Brasil, 77001-080";2,8768549;-60,7089038342997;0
20591;"Brasil, 05577-200";-23,5880713;-46,7511938;1
18206;"Brasil, 04583-110";-23,6195239333333;-46,6993058;1
5565;"Brasil, 59015-900";-28,1123214;-54,7176521;1
14628;"Brasil, 05092-001";9,6895929;125,4499358;0
2524;"Brasil, 04036-100";-23,60088105;-46,63708335;1
907;"Brasil, 03033-020";-23,5284794127273;-46,6252490727273;1
