"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo";"DATA_ABERTURA";"DATA_FINAL"
19955;"Brasil, 13820-000";-22,7007485;-46,98378575;1;2008-12-16;2011-08-29
20449;"Brasil, 09531-190";-3,78936;-38,60537;1;2011-11-18;2024-12-10
21561;"Brasil, 38411-145";-18,9573088678947;-48,27775478;1;2012-03-30;2024-12-10
36652;"Brasil, 05003-020";-23,5274476;-46,6748014;1;2017-06-15;2024-12-10
20598;"Brasil, 03126-000";-23,5797396;-46,5942461;1;2011-11-29;2024-12-10
24767;"Brasil, 86027-750";-23,312162975;-51,1457469666667;1;2013-06-22;2024-12-10
24766;"Brasil, 12091-000";-23,034564;-45,56396375;1;2013-03-15;2024-12-10
22951;"Brasil, 22640-102";-22,9983149;-43,3533899444444;1;2012-11-04;2024-12-10
24763;"Brasil, 51110-160";-8,08614123325635;-34,8941839898383;1;2012-12-21;2024-12-10
24765;"Brasil, 78043-900";-12,0684214;-77,0480731;1;2013-02-08;2024-12-10
30582;"Brasil, 05145-000";-23,4954758833333;-46,7185405333333;1;2015-04-17;2024-12-10
27397;"Brasil, 32655-505";-33,4007259;-70,7460864;1;2014-04-30;2024-12-10
27386;"Brasil, 22750-000";-21,053976;-49,6834459;1;2014-06-18;2024-12-10
30596;"Brasil, 02049-900";-28,1123214;-54,7176521;1;2015-04-30;2024-12-10
27398;"Brasil, 09111-340";-23,6642495;-46,4982514;1;2014-02-13;2024-12-10
30577;"Brasil, 29107-900";-20,3518665;-40,2981209;1;2015-03-02;2024-12-10
31558;"Brasil, 22735-015";-22,92235595;-43,36078235;1;2015-07-18;2022-07-04
30581;"Brasil, 01310-100";-23,5649832421053;-46,6517928403509;1;2015-06-03;2024-12-10
31561;"Brasil, 08780-910";-0,0036735;-51,0878546;1;2015-07-04;2024-12-10
30567;"Brasil, 88524-900";-27,7940138;-50,2842374;1;2015-06-27;2024-12-10
32049;"Brasil, 37026-280";-23,21318445;-46,8302825923764;1;2015-12-23;2024-12-10
30609;"Brasil, 83005-010";-25,5384996290323;-49,2026001741935;1;2015-02-18;2024-12-10
33084;"Brasil, 48908-000";-21,053976;-49,6834459;1;2016-03-22;2024-12-10
34704;"Brasil, 12918-001";-30,811577;-53,9006734255894;1;2016-11-23;2024-12-10
33653;"Brasil, 85853-000";-25,5654359333333;-54,5531896333333;1;2016-06-16;2024-12-10
33652;"Brasil, 42800-970";-12,6947358;-38,331069;1;2016-06-23;2024-12-10
40182;"Brasil, 01489-900";-23,5771992;-46,6880485;1;2018-06-01;2024-12-10
40181;"Brasil, 74810-907";-15,7967373;-47,9382165;1;2018-06-01;2024-12-10
42884;"Brasil, 93320-021";-30,81431825;-53,9061494540372;1;2019-01-29;2024-12-10
42883;"Brasil, 91010-002";-30,0109585;-51,1611546222222;1;2019-01-29;2024-12-10
42886;"Brasil, 22445-000";-21,053976;-49,6834459;1;2018-11-08;2024-12-10
44890;"Brasil, 45605-905";-24,30384595;-53,8390281812144;1;2019-12-19;2024-12-10
53932;"Brasil, 08710-500";-23,5260482;-46,203978;1;2023-07-04;2024-12-10
44889;"Brasil, 13844-060";-23,2613819;-45,9530786;1;2019-12-09;2024-12-10
20591;"Brasil, 05577-200";-23,5880713;-46,7511938;1;2011-11-11;2024-12-10
18206;"Brasil, 04583-110";-23,6195239333333;-46,6993058;1;2010-11-21;2024-12-10
5565;"Brasil, 59015-900";-28,1123214;-54,7176521;1;2005-12-29;2024-12-10
2524;"Brasil, 04036-100";-23,60088105;-46,63708335;1;2001-08-29;2024-12-10
907;"Brasil, 03033-020";-23,5284794127273;-46,6252490727273;1;2001-02-23;2024-12-10
908;"Brasil, 04583-110";-23,6195239333333;-46,6993058;1;2000-09-22;2024-12-10
6664;"Brasil, 12308-051";-21,5893789;-48,0656028507989;1;2004-04-16;2024-12-10
12974;"Brasil, 03066-030";-23,5389777;-46,57636885;1;2007-05-11;2024-12-10
2543;"Brasil, 24030-125";-24,2740505;-53,835609098704;1;2004-08-27;2024-12-10
2525;"Brasil, 21220-201";-22,8478705;-43,3107026;1;2001-07-13;2024-12-10
903;"Brasil, 92310-001";-29,9107681;-51,1837171;1;1999-06-24;2024-12-10
904;"Brasil, 79031-900";-28,1123214;-54,7176521;1;1999-11-19;2024-12-10
901;"Brasil, 90610-000";-30,0524193857143;-51,1884759857143;1;1999-01-15;2024-12-10
2526;"Brasil, 12215-900";-28,1123214;-54,7176521;1;1999-11-05;2024-12-10
3086;"Brasil, 30110-929";-19,9407141;-43,93421;1;2004-12-24;2024-12-10
2527;"Brasil, 80530-001";-30,811577;-53,9006734255894;1;2004-05-22;2024-12-10
2528;"Brasil, 02047-050";-22,5198122;-47,3933638;1;2004-05-21;2024-12-10
