"id";"releaseORIG";"duracao_filme";"nomeBRA";"ROE";"diretor";"releaseBRA";"delay_lancamentoBR";"Distribuidora";"pop_dir";"pop_cast"
225160;"2013-11-27";120;"LA MARCHE";"E1500904100000";"Nabil Ben Yadir";"2016-01-02";766;0;1,503;18,874
133250;"2012-04-27";93;"KUMA";"E1500918500000";"Umut Dağ";"2016-01-04";1347;0;2,803;12,5324
291270;"2015-12-30";90;"ANOMALISA";"E1500818900000";"Charlie Kaufman,Duke Johnson";"2016-01-30";31;1;11,41;NA
319999;"2015-01-20";90;"CIALO";"E1500819800000";"Małgorzata Szumowska";"2016-01-23";368;0;5,753;12,0068
314029;"2016-01-14";101;"BOI NEON";"B1500798600000";"Gabriel Mascaro";"2016-01-16";2;0;3,125;7,5078
253239;"2014-03-05";84;"DIPLOMATIE";"E1500902900000";"Volker Schlöndorff";"2016-01-09";675;0;17,116;17,7098
197823;"2016-01-21";52;"INVASORES";"B1301798200000";"Marcelo Toledo,Paolo Gregori";"2016-01-23";2;0;1,965;3,5334
279579;"2014-06-18";92;"AU FIL D'ARIANE";"E1402548400000";"Robert Guédiguian";"2016-01-09";570;0;7,778;12,868
273248;"2015-12-25";188;"THE HATEFUL EIGHT";"E1500857700000";"Quentin Tarantino";"2016-01-09";15;0;61,544;55,5544
121869;"2015-02-11";105;"EISENSTEIN IN GUANAJUATO";"E1500850600000";"Peter Greenaway";"2016-01-02";325;0;11,235;6,8624
337708;"2016-01-07";109;"VAI QUE DÁ CERTO 2";"B1500870400000";"Maurício Farias,Calvito Leal";"2016-01-09";2;0;5,516;13,049
316727;"2016-06-29";105;"THE PURGE: ELECTION YEAR";"E1600733800000";"James DeMonaco";"2016-10-08";101;1;12,25;38,9668
300671;"2016-01-14";144;"13 HOURS";"E1500921300000";"Michael Bay";"2016-02-20";37;1;25,194;45,1076
319337;"2015-04-09";114;"ELSER";"E1600539500000";"Oliver Hirschbiegel";"2016-11-05";576;0;11,531;18,3628
365179;"2015-10-26";0;"82 MINUTOS";"B1600422600000";"Nelson Hoineff";"2016-08-20";299;0;2,221;NA
299687;"2016-01-14";112;"THE 5TH WAVE";"E1500729000000";"J Blakeson";"2016-01-23";9;0;7,829;46,3388
353793;"2015-08-08";92;"LA ACADEMIA DE LAS MUSAS";"E1500825900000";"José Luis Guerín";"2016-06-18";315;0;0,976;0,001
253450;"2015-08-27";105;"NIE YIN NIANG";"E1600077500000";"Hou Hsiao-hsien";"2016-05-07";254;0;29,222;33,5396
392147;"2016-04-07";77;"A BRUTA FLOR DO QUERER";"B1500400500000";"Dida Andrade,Andradina Azevedo";"2016-04-09";2;0;3,1025;2,0168
310131;"2016-02-19";92;"THE WITCH";"E1500787100000";"Robert Eggers";"2016-03-05";15;1;17,633;44,0498
329865;"2016-11-10";116;"ARRIVAL";"E1700028800000";"Denis Villeneuve";"2016-11-26";16;0;30,324;47,7722
308409;"2016-01-14";111;"KOLLEKTIVET";"E1600279200000";"Thomas Vinterberg";"2016-09-03";233;0;12,785;19,8244
197950;"2014-12-03";135;"LA FRENCH";"E1600054800000";"Cédric Jimenez";"2016-08-13";619;0;4,285;26,989
329809;"2015-11-18";98;"L'HERMINE";"E1600279000000";"Christian Vincent";"2016-08-13";269;0;5,757;16,5486
290098;"2016-06-01";145;"AH-GA-SSI";"E1600763400000";"Park Chan-wook";"2017-01-14";227;0;42,032;41,6558
377278;"2016-06-08";98;"L'ECONOMIE DU COUPLE";"E1600651300000";"Joachim Lafosse";"2016-12-03";178;0;12,18;21,9952
278154;"2016-06-23";95;"ICE AGE: COLLISION COURSE";"E1600182700000";"Mike Thurmeier";"2016-07-09";16;1;10,099;43,9748
330483;"2016-02-04";111;"THE CHOICE";"E1600009500000";"Ross Katz";"2016-02-06";2;1;9,885;62,1762
330348;"2015-09-17";100;"L'ATTESA";"E1600346400000";"Piero Messina";"2017-02-04";506;0;4,928;18,7214
360141;"2016-04-28";79;"A FRENTE FRIA QUE A CHUVA TRAZ";"B1600109600000";"Neville D'Almeida";"2016-04-30";2;0;3,556;9,4906
282983;"2014-09-07";127;"MAGICAL GIRL";"E1500922300000";"Carlos Vermut";"2016-04-02";573;0;3,148;12,9854
306819;"2015-11-27";119;"THE DANISH GIRL";"E1500729100000";"Tom Hooper";"2016-02-13";78;1;7,767;49,35
339145;"2015-06-13";86;"THE GIRL IN THE BOOK";"E1600316100000";"Marya Cohn";"2016-05-28";350;0;1,838;31,651
346685;"2016-10-05";112;"THE GIRL ON THE TRAIN";"E1600501000000";"Tate Taylor";"2016-10-29";24;1;18,665;66,0066
318846;"2015-12-11";131;"THE BIG SHORT";"E1500835100000";"Adam McKay";"2016-01-16";36;1;22,643;59,418
377799;"2016-02-17";91;"LA VACHE";"E1600350200000";"Mohamed Hamidi";"2016-07-30";164;1;5,586;20,5292
337154;"2016-04-05";100;"THE MEDDLER";"E1600337500000";"Lorene Scafaria";"2016-08-06";123;1;15,51;51,8076
310593;"2015-05-20";125;"YOUTH";"E1600170600000";"Paolo Sorrentino";"2016-04-02";318;0;17,347;57,8916
258489;"2016-06-29";109;"THE LEGEND OF TARZAN";"E1600251800000";"David Yates";"2016-07-23";24;1;14,733;71,1616
286595;"2014-08-10";95;"MARIE HEURTIN";"E1402548900000";"Jean-Pierre Améris";"2016-03-19";587;0;6,644;10,1436
344896;"2016-08-04";76;"A LOUCURA ENTRE NÓS";"B1600296800000";"Fernanda Fontes Vareille";"2016-08-06";2;0;0,001;NA
299800;"2014-09-25";99;"A LUNETA DO TEMPO";"B1402307700000";"Alceu Valença";"2016-03-26";548;0;2,798;6,5708
417484;"2016-10-06";78;"A LUTA DO SÉCULO";"B1600441200000";"Sérgio Machado";"2018-03-17";527;0;8,522;NA
283552;"2016-09-02";133;"THE LIGHT BETWEEN OCEANS";"E1600452500000";"Derek Cianfrance";"2016-11-05";64;1;7,483;54,3892
312831;"2015-11-06";97;"THE HALLOW";"E1600586900000";"Corin Hardy";"2016-10-08";337;0;7,176;28,041
371859;"2016-11-02";115;"LA MORT DE LOUIS XIV";"E1600735200000";"Albert Serra";"2017-01-28";87;0;7,288;8,1458
294795;"2016-09-01";108;"THE 9TH LIFE OF LOUIS DRAX";"E1600489800000";"Alexandre Aja";"2016-10-22";51;0;20,271;44,9462
285023;"2014-09-01";97;"FIDELIO, L'ODYSSÉE D'ALICE";"E1600354900000";"Lucie Borleteau";"2016-06-11";649;0;5,144;15,0926
336222;"2015-05-28";93;"HRÚTAR";"E1600003400000";"Grímur Hákonarson";"2016-02-13";261;0;5,139;5,4284
306838;"2015-08-20";109;"MAGALLANES";"E1600548400000";"Salvador del Solar";"2016-10-01";408;0;4,606;13,4584
96574;"2012-03-14";97;"GERHARD RICHTER PAINTING";"E1600290700000";"Corinna Belz";"2016-05-28";1536;0;5,546;NA
328589;"2015-10-30";104;"THE LADY IN THE VAN";"E1500720500000";"Nicholas Hytner";"2016-04-09";162;0;10,961;32,183
262504;"2016-03-09";120;"ALLEGIANT";"E1600009700000";"Robert Schwentke";"2016-03-12";3;1;14,802;58,3906
337703;"2016-03-27";80;"THE RED TURTLE";"E1600575800000";"Michael Dudok de Wit";"2017-02-18";328;0;3,522;NA
299715;"2015-03-25";86;"À TROIS ON Y VA";"E1600187800000";"Jérôme Bonnell";"2016-04-16";388;0;4,754;14,3608
364136;"2015-11-04";105;"LA DERNIÈRE LEÇON";"E1600745700000";"Pascale Pouzadoux";"2016-12-24";416;0;6,712;14,0422
353686;"2015-08-28";80;"VISIONS";"E1600350300000";"Kevin Greutert";"2016-07-16";323;0;10,231;38,1772
384682;"2016-11-25";105;"OFFICE CHRISTMAS PARTY";"E1700029900000";"Will Speck,Josh Gordon";"2016-12-10";15;1;8,048;46,214
340361;"2015-08-12";110;"FLORIDE";"E1600362100000";"Philippe Le Guay";"2016-08-13";367;0;6,602;20,5432
298382;"2015-10-29";118;"THE DRESSMAKER";"E1500742800000";"Jocelyn Moorhouse";"2016-05-21";205;0;9,961;41,2754
